Date;Argentina;Argentina %;Total docs
2022-06-01;884;100;884
2022-06-02;1093;100;1093
2022-06-03;992;100;992
2022-06-04;442;100;442
2022-06-05;265;100;265
2022-06-06;562;100;562
2022-06-07;585;100;585
2022-06-08;654;100;654
2022-06-09;599;100;599
2022-06-10;897;100;897
2022-06-11;446;100;446
2022-06-12;295;100;295
2022-06-13;664;100;664
2022-06-14;627;100;627
2022-06-15;602;100;602
2022-06-16;596;100;596
2022-06-17;306;100;306
2022-06-18;334;100;334
2022-06-19;155;100;155
2022-06-20;274;100;274
2022-06-21;517;100;517
2022-06-22;648;100;648
2022-06-23;638;100;638
2022-06-24;564;100;564
2022-06-25;309;100;309
2022-06-26;193;100;193
2022-06-27;382;100;382
2022-06-28;518;100;518
2022-06-29;495;100;495
2022-06-30;435;100;435
2022-07-01;504;100;504
2022-07-02;271;100;271
2022-07-03;221;100;221
2022-07-04;611;100;611
2022-07-05;537;100;537
2022-07-06;481;100;481
2022-07-07;479;100;479
2022-07-08;406;100;406
2022-07-09;195;100;195
2022-07-10;153;100;153
2022-07-11;357;100;357
2022-07-12;375;100;375
2022-07-13;381;100;381
2022-07-14;394;100;394
2022-07-15;425;100;425
2022-07-16;198;100;198
2022-07-17;163;100;163
2022-07-18;282;100;282
2022-07-19;294;100;294
2022-07-20;385;100;385
2022-07-21;327;100;327
2022-07-22;304;100;304
2022-07-23;206;100;206
2022-07-24;152;100;152
2022-07-25;356;100;356
2022-07-26;393;100;393
2022-07-27;485;100;485
2022-07-28;535;100;535
2022-07-29;570;100;570
2022-07-30;294;100;294
2022-07-31;229;100;229
2022-08-01;545;100;545
2022-08-02;648;100;648
2022-08-03;673;100;673
2022-08-04;568;100;568
2022-08-05;606;100;606
2022-08-06;377;100;377
2022-08-07;251;100;251
2022-08-08;549;100;549
2022-08-09;816;100;816
2022-08-10;703;100;703
2022-08-11;582;100;582
2022-08-12;599;100;599
2022-08-13;305;100;305
2022-08-14;261;100;261
2022-08-15;256;100;256
2022-08-16;538;100;538
2022-08-17;668;100;668
2022-08-18;693;100;693
2022-08-19;614;100;614
2022-08-20;410;100;410
2022-08-21;275;100;275
2022-08-22;493;100;493
2022-08-23;622;100;622
2022-08-24;685;100;685
2022-08-25;573;100;573
2022-08-26;803;100;803
2022-08-27;570;100;570
2022-08-28;519;100;519
2022-08-29;664;100;664
2022-08-30;768;100;768
2022-08-31;770;100;770
2022-09-01;762;100;762
2022-09-02;485;100;485
2022-09-03;313;100;313
2022-09-04;224;100;224
2022-09-05;765;100;765
2022-09-06;1012;100;1012
2022-09-07;1174;100;1174
2022-09-08;1108;100;1108
2022-09-09;1065;100;1065
2022-09-10;559;100;559
2022-09-11;488;100;488
2022-09-12;835;100;835
2022-09-13;1011;100;1011
2022-09-14;1016;100;1016
2022-09-15;1027;100;1027
2022-09-16;906;100;906
2022-09-17;614;100;614
2022-09-18;413;100;413
2022-09-19;849;100;849
2022-09-20;993;100;993
2022-09-21;908;100;908
2022-09-22;1008;100;1008
2022-09-23;935;100;935
2022-09-24;541;100;541
2022-09-25;473;100;473
2022-09-26;927;100;927
2022-09-27;1360;100;1360
2022-09-28;1564;100;1564
2022-09-29;1408;100;1408
2022-09-30;1305;100;1305
2022-10-01;708;100;708
2022-10-02;491;100;491
2022-10-03;910;100;910
2022-10-04;705;100;705
2022-10-05;698;100;698
2022-10-06;751;100;751
2022-10-07;451;100;451
2022-10-08;270;100;270
2022-10-09;233;100;233
2022-10-10;282;100;282
2022-10-11;578;100;578
2022-10-12;686;100;686
2022-10-13;662;100;662
2022-10-14;671;100;671
2022-10-15;395;100;395
2022-10-16;248;100;248
2022-10-17;542;100;542
2022-10-18;637;100;637
2022-10-19;644;100;644
2022-10-20;755;100;755
2022-10-21;671;100;671
2022-10-22;43;100;43
2022-10-23;0;0;0
2022-10-24;567;100;567
2022-10-25;740;100;740
2022-10-26;691;100;691
2022-10-27;689;100;689
2022-10-28;667;100;667
2022-10-29;335;100;335
2022-10-30;242;100;242
2022-10-31;522;100;522
2022-11-01;689;100;689
2022-11-02;601;100;601
2022-11-03;629;100;629
2022-11-04;614;100;614
2022-11-05;353;100;353
2022-11-06;242;100;242
2022-11-07;459;100;459
2022-11-08;569;100;569
2022-11-09;609;100;609
2022-11-10;579;100;579
2022-11-11;572;100;572
2022-11-12;325;100;325
2022-11-13;277;100;277
2022-11-14;517;100;517
2022-11-15;628;100;628
2022-11-16;612;100;612
2022-11-17;540;100;540
2022-11-18;599;100;599
2022-11-19;341;100;341
2022-11-20;219;100;219
2022-11-21;222;100;222
2022-11-22;389;100;389
2022-11-23;554;100;554
2022-11-24;627;100;627
2022-11-25;574;100;574
2022-11-26;316;100;316
2022-11-27;209;100;209
2022-11-28;506;100;506
2022-11-29;646;100;646
2022-11-30;479;100;479
2022-12-01;567;100;567
2022-12-02;599;100;599
2022-12-03;230;100;230
2022-12-04;190;100;190
2022-12-05;399;100;399
2022-12-06;343;100;343
2022-12-07;362;100;362
2022-12-08;230;100;230
2022-12-09;165;100;165
2022-12-10;117;100;117
2022-12-11;148;100;148
2022-12-12;272;100;272
2022-12-13;223;100;223
2022-12-14;289;100;289
2022-12-15;295;100;295
2022-12-16;341;100;341
2022-12-17;166;100;166
2022-12-18;88;100;88
2022-12-19;155;100;155
2022-12-20;169;100;169
2022-12-21;273;100;273
2022-12-22;277;100;277
2022-12-23;200;100;200
2022-12-24;95;100;95
2022-12-25;46;100;46
2022-12-26;166;100;166
2022-12-27;262;100;262
2022-12-28;235;100;235
2022-12-29;279;100;279
2022-12-30;456;100;456
2022-12-31;220;100;220
2023-01-01;101;100;101
2023-01-02;143;100;143
2023-01-03;200;100;200
2023-01-04;239;100;239
2023-01-05;190;100;190
2023-01-06;161;100;161
2023-01-07;71;100;71
2023-01-08;89;100;89
2023-01-09;168;100;168
2023-01-10;175;100;175
2023-01-11;165;100;165
2023-01-12;191;100;191
2023-01-13;164;100;164
2023-01-14;111;100;111
2023-01-15;105;100;105
2023-01-16;176;100;176
2023-01-17;202;100;202
2023-01-18;206;100;206
2023-01-19;197;100;197
2023-01-20;171;100;171
2023-01-21;132;100;132
2023-01-22;110;100;110
2023-01-23;194;100;194
2023-01-24;242;100;242
2023-01-25;223;100;223
2023-01-26;229;100;229
2023-01-27;171;100;171
2023-01-28;114;100;114
2023-01-29;116;100;116
2023-01-30;192;100;192
2023-01-31;238;100;238
2023-02-01;250;100;250
2023-02-02;273;100;273
2023-02-03;264;100;264
2023-02-04;169;100;169
2023-02-05;84;100;84
2023-02-06;248;100;248
2023-02-07;281;100;281
2023-02-08;329;100;329
2023-02-09;541;100;541
2023-02-10;421;100;421
2023-02-11;209;100;209
2023-02-12;136;100;136
2023-02-13;247;100;247
2023-02-14;401;100;401
2023-02-15;387;100;387
2023-02-16;389;100;389
2023-02-17;332;100;332
2023-02-18;152;100;152
2023-02-19;121;100;121
2023-02-20;145;100;145
2023-02-21;203;100;203
2023-02-22;365;100;365
2023-02-23;451;100;451
2023-02-24;455;100;455
2023-02-25;348;100;348
2023-02-26;234;100;234
2023-02-27;627;100;627
2023-02-28;583;100;583
2023-03-01;775;100;775
2023-03-02;625;100;625
2023-03-03;673;100;673
2023-03-04;364;100;364
2023-03-05;240;100;240
2023-03-06;561;100;561
2023-03-07;673;100;673
2023-03-08;715;100;715
2023-03-09;656;100;656
2023-03-10;652;100;652
2023-03-11;395;100;395
2023-03-12;227;100;227
2023-03-13;633;100;633
2023-03-14;882;100;882
2023-03-15;881;100;881
2023-03-16;763;100;763
2023-03-17;788;100;788
2023-03-18;412;100;412
2023-03-19;276;100;276
2023-03-20;636;100;636
2023-03-21;680;100;680
2023-03-22;679;100;679
2023-03-23;677;100;677
2023-03-24;352;100;352
2023-03-25;243;100;243
2023-03-26;213;100;213
2023-03-27;501;100;501
2023-03-28;586;100;586
2023-03-29;680;100;680
2023-03-30;687;100;687
2023-03-31;722;100;722
2023-04-01;353;100;353
2023-04-02;281;100;281
2023-04-03;357;100;357
2023-04-04;479;100;479
2023-04-05;440;100;440
2023-04-06;285;100;285
2023-04-07;203;100;203
2023-04-08;203;100;203
2023-04-09;167;100;167
2023-04-10;409;100;409
2023-04-11;501;100;501
2023-04-12;579;100;579
2023-04-13;667;100;667
2023-04-14;572;100;572
2023-04-15;349;100;349
2023-04-16;259;100;259
2023-04-17;515;100;515
2023-04-18;554;100;554
2023-04-19;593;100;593
2023-04-20;575;100;575
2023-04-21;510;100;510
2023-04-22;347;100;347
2023-04-23;326;100;326
2023-04-24;629;100;629
2023-04-25;661;100;661
2023-04-26;719;100;719
2023-04-27;667;100;667
2023-04-28;665;100;665
2023-04-29;344;100;344
2023-04-30;261;100;261
2023-05-01;325;100;325
2023-05-02;580;100;580
2023-05-03;645;100;645
2023-05-04;688;100;688
2023-05-05;570;100;570
2023-05-06;322;100;322
2023-05-07;280;100;280
2023-05-08;448;100;448
2023-05-09;570;100;570
2023-05-10;537;100;537
2023-05-11;630;100;630
2023-05-12;680;100;680
2023-05-13;421;100;421
2023-05-14;257;100;257
2023-05-15;555;100;555
2023-05-16;720;100;720
2023-05-17;746;100;746
2023-05-18;780;100;780
2023-05-19;710;100;710
2023-05-20;395;100;395
2023-05-21;319;100;319
2023-05-22;572;100;572
2023-05-23;809;100;809
2023-05-24;731;100;731
2023-05-25;399;100;399
2023-05-26;298;100;298
2023-05-27;240;100;240
2023-05-28;268;100;268
2023-05-29;500;100;500
2023-05-30;682;100;682
2023-05-31;666;100;666